"ID","SampleName","Tree_Type","Rhizosphere_Manipulation","Substrate_Type","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","nmol_FAME_per_g_soil","Microbial_Group"
60,"01.13.3","P","3","S",2,"19:0",0,14.084,-33.126,1.069424,0.8216,6.002,3886.12,"standard"
61,"01.13.3","P","3","S",2,"20:4n6",0,0.996,-36.97,1.065218,0.7919,6.002,261.75,"protozoa"
62,"01.13.3","P","3","S",2,"20:5n3",0,1.886,-35.259,1.06709,0.797,6.002,495.6,"protozoa"
63,"01.05.3","G","3","L",3,"12:0",0,15.032,-39.489,1.062461,0.7285,6.09,5839.29,"standard"
64,"01.05.3","G","3","L",3,"14:0",0,2.444,13.485,1.120401,0.7432,6.09,822.9,"bacteria"
65,"01.05.3","G","3","L",3,"a15:0",0,33.172,-9.676,1.095077,0.7494,6.09,10470.89,"gram+bacteria"
66,"01.05.3","G","3","L",3,"15:0",0,3.847,3.815,1.10983,0.7494,6.09,1214.32,"bacteria"
67,"01.05.3","G","3","L",3,"16:1n9/i16:0",0,4.681,73.656,1.186131,0.7606,6.09,1390.68,"bacteria"
68,"01.05.3","G","3","L",3,"16:0",0,38.88,84.488,1.197955,0.755,6.09,11549.82,"bacteria"
69,"01.05.3","G","3","L",3,"i17:0",0,4.478,-32.868,1.069706,0.76,6.09,1256.34,"gram+bacteria"
70,"01.05.3","G","3","L",3,"17:0cy",0,9.659,-7.906,1.097013,0.7654,6.09,2710,"gram-bacteria"
71,"01.05.3","G","3","L",3,"17:0",0,7.109,-12.531,1.091955,0.76,6.09,1994.48,"bacteria"
72,"01.05.3","G","3","L",3,"18:3n6",0,0.806,2.656,1.108563,0.7765,6.09,226.13,"fungi"
73,"01.05.3","G","3","L",3,"trans-18:1n9",0,10.936,49.735,1.16001,0.7697,6.09,2906.8,"gram-bacteria"
74,"01.05.3","G","3","L",3,"18:0",0,9.96,86.393,1.200033,0.7645,6.09,2647.38,"bacteria"
75,"01.05.3","G","3","L",3,"19:0cy",0,35.779,-20.159,1.083611,0.7736,6.09,9034.7,"gram-bacteria"
76,"01.05.3","G","3","L",3,"19:0",0,16.412,-30.499,1.072298,0.8216,6.09,4144.3,"standard"
77,"01.05.3","G","3","L",3,"20:4n6",0,1.217,3.182,1.109138,0.7919,6.09,292.69,"protozoa"
78,"01.05.3","G","3","L",3,"20:5n3",0,1.141,-23.857,1.079566,0.797,6.09,274.39,"protozoa"
79,"10.02.2","G","2","S",3,"12:0",0,17.417,-31.144,1.071593,0.7285,5.999,6101.98,"standard"
80,"10.02.2","G","2","S",3,"14:0",0,3.389,-8.634,1.096217,0.7432,5.999,1029.15,"bacteria"
81,"10.02.2","G","2","S",3,"a15:0",0,60.472,-16.173,1.087971,0.7494,5.999,17215.54,"gram+bacteria"
82,"10.02.2","G","2","S",3,"15:0",0,5.917,-19.583,1.084241,0.7494,5.999,1684.49,"bacteria"
83,"10.02.2","G","2","S",3,"16:1n9/i16:0",0,6.209,71.051,1.183287,0.7606,5.999,1663.66,"bacteria"
84,"10.02.2","G","2","S",3,"16:0",0,64.274,-8.548,1.096311,0.755,5.999,17220.22,"bacteria"
85,"10.02.2","G","2","S",3,"i17:0",0,10.02,-29.621,1.073259,0.76,5.999,2535.39,"gram+bacteria"
86,"10.02.2","G","2","S",3,"17:0cy",0,17.845,-22.842,1.080676,0.7654,5.999,4515.52,"gram-bacteria"
87,"10.02.2","G","2","S",3,"17:0",0,13.991,-30.522,1.072274,0.76,5.999,3540.19,"bacteria"
88,"10.02.2","G","2","S",3,"18:3n6",0,1.147,1.083,1.106843,0.7765,5.999,290.23,"fungi"
