"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C"
168,"11.10.3","2.5 ul","19:0cy",0,90.724,-28.01,1.075022,"0.7736"
169,"11.10.3","2.5 ul","19:0",0,17.192,-33.058,1.069499,"0.8216"
170,"11.10.3","2.5 ul","20:4n6",0,1.544,-36.196,1.066065,"0.7919"
171,"11.10.3","2.5 ul","20:5n3",0,1.612,-34.246,1.068199,"0.797"
172,"11.06.2","3 ul","12:0",0,16.694,-30.335,1.072478,"0.7285"
173,"11.06.2","3 ul","14:0",0,1.09,-19.856,1.083942,"0.7432"
174,"11.06.2","3 ul","a15:0",0,23.591,-23.042,1.080457,"0.7494"
175,"11.06.2","3 ul","15:0",0,2.751,-19.177,1.084685,"0.7494"
176,"11.06.2","3 ul","16:1n9/i16:0",0,2.709,26.317,1.134426,"0.7606"
177,"11.06.2","3 ul","16:0",0,27.062,-18.47,1.085458,"0.755"
178,"11.06.2","3 ul","i17:0",0,4.539,-35.054,1.067314,"0.76"
179,"11.06.2","3 ul","17:0cy",0,7.42,-23.665,1.079775,"0.7654"
180,"11.06.2","3 ul","17:0",0,5.271,-29.292,1.073619,"0.76"
181,"11.06.2","3 ul","18:3n6",0,0.588,-15.338,1.088885,"0.7765"
182,"11.06.2","3 ul","trans-18:1n9",0,6.318,-1.533,1.103982,"0.7697"
183,"11.06.2","3 ul","18:0",0,5.562,-6.814,1.098207,"0.7645"
184,"11.06.2","3 ul","19:0cy",0,29.297,-35.379,1.066959,"0.7736"
185,"11.06.2","3 ul","19:0",0,15.07,-32.722,1.069866,"0.8216"
186,"11.06.2","3 ul","20:4n6",0,0.745,-17.332,1.086703,"0.7919"
187,"11.06.2","3 ul","20:5n3",0,1.112,-32.765,1.069819,"0.797"
188,"11.06.3","2 ul","12:0",0,13.145,-30.895,1.071865,"0.7285"
189,"11.06.3","2 ul","14:0",0,1.643,-20.603,1.083125,"0.7432"
190,"11.06.3","2 ul","a15:0",0,22.963,-23.396,1.08007,"0.7494"
191,"11.06.3","2 ul","15:0",0,2.421,-22.892,1.080621,"0.7494"
192,"11.06.3","2 ul","16:1n9/i16:0",0,4.272,-0.072,1.10558,"0.7606"
193,"11.06.3","2 ul","16:0",0,35.114,-23.801,1.079627,"0.755"
194,"11.06.3","2 ul","i17:0",0,5.689,-30.488,1.072311,"0.76"
195,"11.06.3","2 ul","17:0cy",0,8.588,-27.086,1.076033,"0.7654"
196,"11.06.3","2 ul","17:0",0,6.671,-31.132,1.071606,"0.76"
197,"11.06.3","2 ul","18:3n6",0,0.503,-18.995,1.084885,"0.7765"
198,"11.06.3","2 ul","trans-18:1n9",0,11.047,-23.434,1.080028,"0.7697"
199,"11.06.3","2 ul","18:0",0,9.173,-24.297,1.079085,"0.7645"
200,"11.06.3","2 ul","19:0cy",0,40.222,-34.346,1.068089,"0.7736"
201,"11.06.3","2 ul","19:0",0,13.124,-33.926,1.068548,"0.8216"
202,"11.06.3","2 ul","20:4n6",0,0.457,-40.391,1.061474,"0.7919"
203,"11.06.3","2 ul","20:5n3",0,0.615,-35.411,1.066924,"0.797"
204,"11.06.3","2.5 ul","12:0",0,24.909,-29.832,1.073029,"0.7285"
205,"11.06.3","2.5 ul","14:0",0,2.934,-26.883,1.076256,"0.7432"
206,"11.06.3","2.5 ul","a15:0",0,40.757,-28.534,1.074449,"0.7494"
207,"11.06.3","2.5 ul","15:0",0,4.651,-28.36,1.074639,"0.7494"
208,"11.06.3","2.5 ul","16:1n9/i16:0",0,5.976,-23.118,1.080374,"0.7606"
209,"11.06.3","2.5 ul","16:0",0,55.572,-28.237,1.074774,"0.755"
210,"11.06.3","2.5 ul","i17:0",0,3.28,-31.059,1.071686,"0.76"
211,"11.06.3","2.5 ul","17:0cy",0,13.521,-29.477,1.073417,"0.7654"
212,"11.06.3","2.5 ul","17:0",0,10.36,-31.786,1.070891,"0.76"
213,"11.06.3","2.5 ul","18:3n6",0,0.868,-27.927,1.075112,"0.7765"
214,"11.06.3","2.5 ul","trans-18:1n9",0,18.754,-27.879,1.075166,"0.7697"
215,"11.06.3","2.5 ul","18:0",0,12.79,-30.738,1.072038,"0.7645"
216,"11.06.3","2.5 ul","19:0cy",0,69.032,-32.364,1.070258,"0.7736"
217,"11.06.3","2.5 ul","19:0",0,23.9,-31.897,1.070769,"0.8216"
218,"11.06.3","2.5 ul","20:4n6",0,0.59,-38.458,1.063589,"0.7919"
219,"11.06.3","2.5 ul","20:5n3",0,0.391,-31.531,1.07117,"0.797"
220,"12.09.1","2.5 ul","12:0",0,14.344,-30.397,1.07241,"0.7285"
221,"12.09.1","2.5 ul","14:0",0,1.657,29.624,1.138039,"0.7432"
222,"12.09.1","2.5 ul","a15:0",0,30.816,-0.909,1.104664,"0.7494"
223,"12.09.1","2.5 ul","15:0",0,3.197,13.128,1.120012,"0.7494"
224,"12.09.1","2.5 ul","16:1n9/i16:0",0,3.971,107.947,1.223551,"0.7606"
