Core_ID,Clean_Core_ID,Mesh_Type,Label_Type,Core_Depth_cm,d13_day1,atom_percent_day1,ppmv_day1,d13_day2,atom_percent_day2,ppmv_day2,d13_day3,atom_percent_day3,ppmv_day3,d13_day4,atom_percent_day4,ppmv_day4,d13_day5,atom_percent_day5,ppmv_day5,d13_day6,atom_percent_day6,ppmv_day6,d13_day7,atom_percent_day7,ppmv_day7,d13_day9,atom_percent_day9,ppmv_day9,Core_Volume_m3,Gas_Moles,C13_ug_D1,C13_ug_D2,C13_ug_D3,C13_ug_D4,C13_ug_D5,C13_ug_D6,C13_ug_D7,C13_ug_D9,Total_13C_ug,PeakDay_13C_CO2_ug
12.5.2,12.05.2,2,leaf,5.5,36.65,1.145731,590.565112,NA,NA,NA,NA,NA,NA,-8.42,1.096465,680,NA,NA,NA,-8.074176998,1.096838854,701.2618082,4.148478606,1.110204215,618.3665461,34.39,1.143259,819.2,0.000107992,1.50E-05,0.000886325,NA,NA,0.00102055,NA,0.00105246,0.00092805,0.001229462,1.359340884,0.177042556
12.5.3,12.05.3,3,leaf,4.5,22.83,1.130622,620.794277,NA,NA,NA,NA,NA,NA,-9.32,1.095481,689.4,NA,NA,NA,-11.87485319,1.092682113,693.3912613,-1.435246668,1.104098911,641.1167338,0.06,1.105736,658.6,8.84E-05,1.23E-05,0.000762294,NA,NA,0.000846538,NA,0.000851439,0.000787249,0.000808717,1.066963563,0.116455305
12.9.1,12.09.1,1,leaf,6.5,64.76,1.176431,799.6632222,NA,NA,NA,NA,NA,NA,89.74,1.203692,747.1,NA,NA,NA,-7.856127795,1.09707732,809.4133026,54.85529534,1.165613093,696.0539339,61.02,1.172348,828.3,0.000127627,1.77E-05,0.001418349,NA,NA,0.001325118,NA,0.001435642,0.001234579,0.001469141,1.791050309,0.211556345
12.9.2,12.09.2,2,leaf,7,-2.04,1.103439,687.2827772,NA,NA,NA,NA,NA,NA,15.12,1.122203,811.4,NA,NA,NA,-9.059239629,1.09576154,784.9010523,3.927272895,1.10996236,709.9938079,0.22,1.105904,806.7,0.000137445,1.91E-05,0.001312792,NA,NA,0.001549871,NA,0.001499255,0.001356173,0.001540894,1.929438143,0.221888674
12.9.3,12.09.3,3,leaf,7,-8.45,1.096425,736.1898071,NA,NA,NA,NA,NA,NA,-1.54,1.103989,887,NA,NA,NA,-13.59743219,1.09079804,767.0063264,-0.520439431,1.105099222,614.1767525,-5.49,1.09966,667.9,0.000137445,1.91E-05,0.001406211,NA,NA,0.001694276,NA,0.001465074,0.001173151,0.001275769,1.892718145,0.183710729
15.16.1,15.16.1,1,leaf,6,-1.51,1.10402,639.8245545,NA,NA,NA,NA,NA,NA,19.37,1.126845,663.7,NA,NA,NA,-8.094622594,1.096816494,942.1162044,-10.27842253,1.094428147,749.464013,11.05,1.117753,916.4,0.00011781,1.64E-05,0.00104755,NA,NA,0.00108664,NA,0.001542475,0.001227057,0.001500372,1.673311721,0.216053531
15.16.2,15.16.2,2,leaf,5,-0.52,1.105095,605.7971654,NA,NA,NA,NA,NA,NA,8.8,1.115285,667,NA,NA,NA,-6.116023678,1.09898032,758.9008378,-9.983078872,1.094751161,648.5957111,-3.74,1.101584,810.1,9.82E-05,1.36E-05,0.000826532,NA,NA,0.000910036,NA,0.001035422,0.000884925,0.001105277,1.256106746,0.159159906
15.16.3,15.16.3,3,leaf,4,-3.8,1.101514,604.504986,NA,NA,NA,NA,NA,NA,4.65,1.110751,605.1,NA,NA,NA,-6.857798392,1.098169115,731.7259149,-10.74360948,1.093919374,643.6227786,-2.5,1.102932,723.9,7.85E-05,1.09E-05,0.000659815,NA,NA,0.000660465,NA,0.000798677,0.000702512,0.000790135,0.939073637,0.113779391
2.8.1,02.08.1,1,leaf,8,20.45,1.128019,996.0353238,NA,NA,NA,NA,NA,NA,-11.38,1.093224,840,NA,NA,NA,-12.08009012,1.092457639,808.0428094,-12.0364066,1.092505417,757.6478154,6.34,1.112601,1035.4,0.00015708,2.18E-05,0.002174339,NA,NA,0.001833715,NA,0.001763953,0.001653941,0.002260272,2.502413774,0.325479159
2.8.2,02.08.2,2,leaf,7,-7.07,1.097935,680.0778985,NA,NA,NA,NA,NA,NA,-9.81,1.094944,855.3,NA,NA,NA,-6.670972138,1.098373429,887.374789,-11.71719392,1.09285455,815.6784146,-7.14,1.097855,891.9,0.000137445,1.91E-05,0.00129903,NA,NA,0.001633725,NA,0.001694992,0.001558043,0.001703636,2.095992782,0.24532355
2.8.3,02.08.3,3,leaf,7,-10.07,1.094659,767.0846403,NA,NA,NA,NA,NA,NA,-12.55,1.091939,850.6,NA,NA,NA,-12.87136646,1.091592184,810.2747555,-12.47876315,1.092021594,779.4582363,-13.31,1.091116,981.5,0.000137445,1.91E-05,0.001465223,NA,NA,0.001624748,NA,0.001547722,0.001488859,0.001874782,2.112960099,0.269968679
22.7.1,22.07.1,1,leaf,6,173.37,1.294876,941.5680071,NA,NA,NA,NA,NA,NA,128.39,1.24586,738,NA,NA,NA,-4.144648207,1.101136151,829.4225038,-10.76874896,1.093891878,660.303639,63.79,1.175367,981.4,0.00011781,1.64E-05,0.001541578,NA,NA,0.001208287,NA,0.001357968,0.001081079,0.001606793,1.753493816,0.231378148
22.7.2,22.07.2,2,leaf,7,29.13,1.137507,662.8096838,NA,NA,NA,NA,NA,NA,17.97,1.125319,778.4,NA,NA,NA,-9.17993939,1.095629535,842.3834541,-11.12153108,1.093506038,694.1352434,0.04,1.105711,938,0.000137445,1.91E-05,0.001266046,NA,NA,0.001486837,NA,0.001609053,0.001325881,0.001791692,1.994965894,0.258003689
22.7.3,22.07.3,3,leaf,5,17.93,1.125273,657.8367512,NA,NA,NA,NA,NA,NA,8.2,1.114639,873.3,NA,NA,NA,-12.01285536,1.092531176,834.1996517,-12.24242993,1.092280082,686.695423,-0.51,1.105109,860.4,9.82E-05,1.36E-05,0.000897534,NA,NA,0.001191505,NA,0.001138158,0.000936907,0.001173905,1.444763972,0.169042319
24.2.1,24.02.1,1,leaf,6,114.15,1.230328,1010.014355,NA,NA,NA,NA,NA,NA,27.3,1.13551,870.5,NA,NA,NA,-9.141789639,1.095671258,975.5170823,-12.03753264,1.092504186,820.3772485,41.57,1.151106,1112.8,0.00011781,1.64E-05,0.001653641,NA,NA,0.001425222,NA,0.001597161,0.001343159,0.001821927,2.031932477,0.262357452
24.2.2,24.02.2,2,leaf,4,31.4,1.139989,663.5536658,NA,NA,NA,NA,NA,NA,1.29,1.107076,702.9,NA,NA,NA,-11.55834489,1.093028287,767.0454833,-12.29285105,1.092224934,659.1289305,1.35,1.10715,728.2,7.85E-05,1.09E-05,0.000724267,NA,NA,0.000767213,NA,0.000837228,0.000719437,0.000794828,1.009361601,0.114455246
24.2.3,24.02.3,3,leaf,2.5,35.28,1.144232,646.402922,NA,NA,NA,NA,NA,NA,2.63,1.108546,663.9,NA,NA,NA,-10.58651682,1.094091186,710.8944178,-12.72871655,1.091748208,688.3791718,6.44,1.112713,718.8,4.91E-05,6.82E-06,0.000440967,NA,NA,0.000452903,NA,0.000484962,0.000469602,0.000490355,0.607667346,0.070611122
3.7.1,03.07.1,1,leaf,7,134.24,1.252235,1105.988038,NA,NA,NA,NA,NA,NA,-15.03,1.089227,1368.1,NA,NA,NA,-14.24768972,1.090086802,1319.94161,-16.07662801,1.088086291,1059.743681,-4.04,1.101253,1151.8,0.000137445,1.91E-05,0.00211257,NA,NA,0.002613235,NA,0.002521246,0.002024237,0.002200076,3.084358442,0.316810926
3.7.2,03.07.2,2,leaf,6,42.88,1.152534,758.783367,NA,NA,NA,NA,NA,NA,-11.83,1.092727,849.3,NA,NA,NA,-11.64652322,1.092931844,917.2123846,-13.3063916,1.091116371,920.3057836,-12.1,1.092432,865.5,0.00011781,1.64E-05,0.001242315,NA,NA,0.001390513,NA,0.001501702,0.001506766,0.001417036,1.837165583,0.204053176
