"ID","SampleName","Injection_vol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","ID.1","SampleName.1","Injection_vol_ul.1","FAME_compound.1","Sample_Dilution.1","Peak_Area.1","d13.1","Atom_per_13C.1","FAME_per_C.1","Dry_Soil_Mass_g.1","StandardRatio","ugC_FAME_compound","Total_C_ug"
126,"02.08.3",3,"17:0cy",0,23.756,-20.794,1.082916,0.7654,6.007,126,"02.08.3",3,"17:0cy",0,23.756,-20.794,1.082916,0.7654,6.007,0.27445,86.5586,8655.86
127,"02.08.3",3,"17:0",0,17.504,-25.171,1.078128,0.76,6.007,127,"02.08.3",3,"17:0",0,17.504,-25.171,1.078128,0.76,6.007,0.27445,63.7785,6377.85
128,"02.08.3",3,"18:3n6",0,1.345,-17.362,1.08667,0.7765,6.007,128,"02.08.3",3,"18:3n6",0,1.345,-17.362,1.08667,0.7765,6.007,0.27445,4.9007,490.07
129,"02.08.3",3,"trans-18:1n9",0,40.931,13.647,1.120578,0.7697,6.007,129,"02.08.3",3,"trans-18:1n9",0,40.931,13.647,1.120578,0.7697,6.007,0.27445,149.1383,14913.83
130,"02.08.3",3,"18:0",0,41.198,15.277,1.12236,0.7645,6.007,130,"02.08.3",3,"18:0",0,41.198,15.277,1.12236,0.7645,6.007,0.27445,150.1111,15011.11
131,"02.08.3",3,"19:0cy",0,128.818,-27.354,1.07574,0.7736,6.007,131,"02.08.3",3,"19:0cy",0,128.818,-27.354,1.07574,0.7736,6.007,0.27445,469.3678,46936.78
132,"02.08.3",3,"19:0",0,19.84,-30.283,1.072535,0.8216,6.007,132,"02.08.3",3,"19:0",0,19.84,-30.283,1.072535,0.8216,6.007,0.27445,72.29,7229
133,"02.08.3",3,"20:4n6",0,2.549,-28.88,1.07407,0.7919,6.007,133,"02.08.3",3,"20:4n6",0,2.549,-28.88,1.07407,0.7919,6.007,0.27445,9.2877,928.77
134,"02.08.3",3,"20:5n3",0,0.689,-30.425,1.072379,0.797,6.007,134,"02.08.3",3,"20:5n3",0,0.689,-30.425,1.072379,0.797,6.007,0.27445,2.5105,251.05
135,"02.10.1",2.5,"12:0",0,13.457,-30.539,1.072254,0.7285,6.059,135,"02.10.1",2.5,"12:0",0,13.457,-30.539,1.072254,0.7285,6.059,0.3483,38.6362,4636.34
