"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","nmol_FAME_per_g_soil"
298,"12.09.3",2,"16:0",0,61.866,16.338,1.12352,0.755,6.002,18353.78
299,"12.09.3",2,"i17:0",0,9.974,-30.773,1.071999,0.76,6.002,2794.58
300,"12.09.3",2,"17:0cy",0,14.987,-23.872,1.079549,0.7654,6.002,4199.28
301,"12.09.3",2,"17:0",0,11.133,-26.842,1.0763,0.76,6.002,3119.31
302,"12.09.3",2,"trans-18:1n9",0,20.521,8.969,1.115465,0.7697,6.002,5447.26
303,"12.09.3",2,"18:0",0,15.044,24.953,1.132935,0.7645,6.002,3993.41
304,"12.09.3",2,"19:0cy",0,64.241,-26.662,1.076497,0.7736,6.002,16200.26
305,"12.09.3",2,"19:0",0,16.735,-31.572,1.071124,0.8216,6.002,4220.26
306,"12.09.3",2,"20:4n6",0,1.12,-34.021,1.068445,0.7919,6.002,269
307,"12.09.3",2,"20:5n3",0,2.614,-33.628,1.068875,0.797,6.002,627.79
308,"14.10.3",3,"12:0",0,16.072,-30.77,1.072002,0.7285,6.039,6209.99
309,"14.10.3",3,"14:0",0,1.461,-25.826,1.077411,0.7432,6.039,489.31
310,"14.10.3",3,"a15:0",0,22.802,-28.025,1.075005,0.7494,6.039,7159.16
311,"14.10.3",3,"15:0",0,2.369,-29.528,1.073361,0.7494,6.039,743.8
312,"14.10.3",3,"16:1n9/i16:0",0,4,-20.593,1.083137,0.7606,6.039,1182.03
313,"14.10.3",3,"16:0",0,35.763,-27.818,1.075232,0.755,6.039,10567.21
314,"14.10.3",3,"i17:0",0,0.456,-33.242,1.069298,0.76,6.039,127.25
315,"14.10.3",3,"17:0cy",0,8.387,-31.064,1.07168,0.7654,6.039,2340.56
316,"14.10.3",3,"17:0",0,6.607,-33.258,1.06928,0.76,6.039,1843.76
317,"14.10.3",3,"trans-18:1n9",0,11.278,-26.687,1.076469,0.7697,6.039,2981.71
318,"14.10.3",3,"18:0",0,9.767,-30.411,1.072395,0.7645,6.039,2582.23
319,"14.10.3",3,"19:0cy",0,38.256,-34.764,1.067632,0.7736,6.039,9608.65
320,"14.10.3",3,"19:0",0,15.696,-33.349,1.06918,0.8216,6.039,3942.35
321,"14.10.3",3,"20:4n6",0,0.516,-40.845,1.060977,0.7919,6.039,123.44
322,"14.10.1",3,"12:0",0,16.241,-30.666,1.072116,0.7285,6.035,5962.27
323,"14.10.1",3,"14:0",0,1.537,68.983,1.181029,0.7432,6.035,489.08
324,"14.10.1",3,"a15:0",0,24.195,8.594,1.115055,0.7494,6.035,7217.6
325,"14.10.1",3,"15:0",0,2.442,7.845,1.114235,0.7494,6.035,728.48
326,"14.10.1",3,"16:1n9/i16:0",0,3.383,419.758,1.562515,0.7606,6.035,949.83
327,"14.10.1",3,"16:0",0,34.712,61.311,1.172653,0.755,6.035,9745.05
328,"14.10.1",3,"i17:0",0,7.351,-25.813,1.077426,0.76,6.035,1949.06
329,"14.10.1",3,"17:0cy",0,9.49,-5.27,1.099896,0.7654,6.035,2516.28
330,"14.10.1",3,"17:0",0,7.67,-23.554,1.079897,0.76,6.035,2033.64
331,"14.10.1",3,"trans-18:1n9",0,10.65,9.473,1.116016,0.7697,6.035,2675.22
332,"14.10.1",3,"18:0",0,7.989,59.587,1.17077,0.7645,6.035,2006.8
333,"14.10.1",3,"19:0cy",0,40.361,-31.36,1.071357,0.7736,6.035,9631.7
334,"14.10.1",3,"19:0",0,17.3,-32.108,1.070538,0.8216,6.035,4128.48
335,"14.10.1",3,"20:4n6",0,1.016,-24.12,1.079278,0.7919,6.035,230.92
336,"14.10.2",3,"12:0",0,16.84,-30.854,1.071911,0.7285,6.001,6102.14
337,"14.10.2",3,"14:0",0,0.407,2.982,1.108919,0.7432,6.001,127.83
338,"14.10.2",3,"a15:0",0,25.014,16.752,1.123972,0.7494,6.001,7365.32
339,"14.10.2",3,"15:0",0,2.657,13.581,1.120507,0.7494,6.001,782.35
340,"14.10.2",3,"16:1n9/i16:0",0,4.499,328.285,1.463318,0.7606,6.001,1246.81
341,"14.10.2",3,"16:0",0,35.449,94.229,1.208585,0.755,6.001,9823.13
342,"14.10.2",3,"i17:0",0,0.623,-37.246,1.064916,0.76,6.001,163.04
343,"14.10.2",3,"17:0cy",0,8.711,-6.231,1.098844,0.7654,6.001,2279.82
344,"14.10.2",3,"17:0",0,6.824,-21.544,1.082096,0.76,6.001,1785.91
345,"14.10.2",3,"18:2n9,12 and cis-18:1n9 and 183n3",0,9.459,80.945,1.194087,0.775,6.001,2345.2
346,"14.10.2",3,"18:0",0,10.001,68.893,1.180931,0.7645,6.001,2479.69
347,"14.10.2",3,"19:0cy",0,33.97,-30.026,1.072816,0.7736,6.001,8001.62
348,"14.10.2",3,"19:0",0,17.304,-32.858,1.069717,0.8216,6.001,4075.98
349,"14.10.2",3,"20:4n6",0,0.55,-26.782,1.076366,0.7919,6.001,123.39
350,"15.16.2",2,"12:0",0,14.291,-41.284,1.060497,0.7285,6.092,5924.61
351,"15.16.2",2,"14:0",0,2.07,-9.916,1.094815,0.7432,6.092,743.84
352,"15.16.2",2,"a15:0",0,40.035,-21.179,1.082495,0.7494,6.092,13486.69
353,"15.16.2",2,"15:0",0,4.385,-11.921,1.092622,0.7494,6.092,1477.19
354,"15.16.2",2,"16:1n9/i16:0",0,5.002,10.89,1.117564,0.7606,6.092,1585.93
355,"15.16.2",2,"16:0",0,7.682,-14.377,1.089936,0.755,6.092,2435.44
356,"15.16.2",2,"i17:0",0,7.017,-30.028,1.072814,0.76,6.092,2101.01
357,"15.16.2",2,"17:0cy",0,12.014,-19.794,1.084011,0.7654,6.092,3597.31
358,"15.16.2",2,"17:0",0,9.07,-24.237,1.07915,0.76,6.092,2715.71
359,"15.16.2",2,"trans-18:1n9",0,14.126,17.892,1.125218,0.7697,6.092,4007.08
360,"15.16.2",2,"18:0",0,11.935,34.328,1.14318,0.7645,6.092,3385.58
361,"15.16.2",2,"19:0cy",0,41.668,-28.231,1.07478,0.7736,6.092,11229.02
362,"15.16.2",2,"19:0",0,15.135,-32.18,1.070459,0.8216,6.092,4078.73
363,"15.16.2",2,"20:4n6",0,0.714,-35.267,1.067082,0.7919,6.092,183.26
364,"15.16.2",2,"20:5n3",0,1.775,-32.532,1.070075,0.797,6.092,455.55
365,"17.01.1",3,"12:0",0,16.314,-44.238,1.057263,0.7285,6.007,5888.64
366,"17.01.1",3,"14:0",0,1.747,-3.721,1.101589,0.7432,6.007,546.58
367,"17.01.1",3,"a15:0",0,35.591,-11.742,1.092818,0.7494,6.007,10439.1
368,"17.01.1",3,"15:0",0,4.053,-14.224,1.090103,0.7494,6.007,1188.78
369,"17.01.1",3,"16:1n9/i16:0",0,4.251,83.389,1.196755,0.7606,6.007,1173.52
370,"17.01.1",3,"16:0",0,44.191,-10.5,1.094177,0.755,6.007,12198.15
371,"17.01.1",3,"i17:0",0,8.043,-27.63,1.075438,0.76,6.007,2096.78
372,"17.01.1",3,"17:0cy",0,12.676,-20.436,1.083308,0.7654,6.007,3304.68
373,"17.01.1",3,"17:0",0,9.356,-29.893,1.072961,0.76,6.007,2439.07
374,"17.01.1",3,"trans-18:1n9",0,12.35,-13.869,1.090491,0.7697,6.007,3050.24
375,"17.01.1",3,"18:0",0,9.852,-10.716,1.09394,0.7645,6.007,2433.27
376,"17.01.1",3,"19:0cy",0,52.633,-35.242,1.067109,0.7736,6.007,12349.65
377,"17.01.1",3,"19:0",0,18.002,-34.019,1.068447,0.8216,6.007,4223.97
378,"17.01.1",3,"20:4n6",0,0.82,-33.525,1.068988,0.7919,6.007,183.25
379,"17.01.1",3,"20:5n3",0,1.204,-32.853,1.069723,0.797,6.007,269.04
380,"17.01.3",3,"12:0",0,16.989,-39.093,1.062895,0.7285,6.062,5668.79
381,"17.01.3",3,"14:0",0,2.004,-20.464,1.083277,0.7432,6.062,579.61
382,"17.01.3",3,"a15:0",0,44.317,-24.867,1.078461,0.7494,6.062,12016.03
383,"17.01.3",3,"15:0",0,4.644,-25.892,1.077339,0.7494,6.062,1259.17
384,"17.01.3",3,"16:1n9/i16:0",0,4.713,8.915,1.115405,0.7606,6.062,1202.72
385,"17.01.3",3,"16:0",0,54.132,-22.158,1.081424,0.755,6.062,13812.81
386,"17.01.3",3,"17:0cy",0,15.697,-27.262,1.07584,0.7654,6.062,3782.96
387,"17.01.3",3,"17:0",0,12.211,-32.76,1.069825,0.76,6.062,2942.75
388,"17.01.3",3,"trans-18:1n9",0,16.564,-27.501,1.075579,0.7697,6.062,3781.81
389,"17.01.3",3,"18:0",0,11.981,-22.03,1.081564,0.7645,6.062,2735.45
390,"17.01.3",3,"19:0cy",0,73.052,-34.335,1.068102,0.7736,6.062,15845.15
391,"17.01.3",3,"19:0",0,19.862,-33.419,1.069104,0.8216,6.062,4308.15
392,"17.01.3",3,"20:4n6",0,0.951,-35.077,1.06729,0.7919,6.062,196.46
393,"17.01.3",3,"20:5n3",0,1.325,-35.219,1.067134,0.797,6.062,273.7
394,"17.06.1",3,"12:0",0,16.268,-50.709,1.05018,0.7285,6.036,6006.52
395,"17.06.1",3,"14:0",0,3.821,19.059,1.126494,0.7432,6.036,1222.85
396,"17.06.1",3,"a15:0",0,59.17,-6.058,1.099034,0.7494,6.036,17752.46
397,"17.06.1",3,"15:0",0,6.329,-14.059,1.090283,0.7494,6.036,1898.86
398,"17.06.1",3,"16:1n9/i16:0",0,6.519,224.815,1.350869,0.7606,6.036,1840.83
399,"17.06.1",3,"16:0",0,54.889,43.064,1.152724,0.755,6.036,15498.14
400,"17.06.1",3,"i17:0",0,8.418,-28.409,1.074586,0.76,6.036,2244.8
401,"17.06.1",3,"17:0cy",0,15.368,-10.868,1.093774,0.7654,6.036,4098.26
402,"17.06.1",3,"17:0",0,11.339,-25.661,1.077592,0.76,6.036,3023.73
403,"17.06.1",3,"trans-18:1n9",0,17.328,36.715,1.145788,0.7697,6.036,4377.73
404,"17.06.1",3,"18:0",0,12.751,37.047,1.14615,0.7645,6.036,3221.41
405,"17.06.1",3,"19:0cy",0,74.813,-32.34,1.070284,0.7736,6.036,17955.93
406,"17.06.1",3,"19:0",0,17.07,-32.913,1.069657,0.8216,6.036,4097.02
407,"17.06.1",3,"20:4n6",0,1.807,-24.224,1.079165,0.7919,6.036,413.06
408,"17.06.1",3,"20:5n3",0,2.632,-30.103,1.072732,0.797,6.036,601.61
409,"17.06.2",3,"12:0",0,17.298,-30.7,1.072079,0.7285,6.013,5918.94
410,"17.06.2",3,"14:0",0,1.459,-24.541,1.078818,0.7432,6.013,432.73
411,"17.06.2",3,"a15:0",0,61.452,-15.378,1.088841,0.7494,6.013,17086.49
412,"17.06.2",3,"15:0",0,6.829,-22.47,1.081083,0.7494,6.013,1898.78
413,"17.06.2",3,"16:1n9/i16:0",0,7.19,39.093,1.148386,0.7606,6.013,1881.58
414,"17.06.2",3,"16:0",0,59.52,-5.43,1.099721,0.755,6.013,15574.61
415,"17.06.2",3,"i17:0",0,10.416,-29.632,1.073247,0.76,6.013,2574.12
416,"17.06.2",3,"17:0cy",0,16.959,-18.722,1.085183,0.7654,6.013,4191.23
417,"17.06.2",3,"17:0",0,12.901,-28.651,1.07432,0.76,6.013,3188.25
418,"17.06.2",3,"18:2n9,12 and cis-18:1n9 and 183n3",0,20.228,-12.166,1.092354,0.775,6.013,4735.83
419,"17.06.2",3,"18:0",0,16.503,-10.993,1.093637,0.7645,6.013,3863.89
420,"17.06.2",3,"19:0cy",0,65.168,-32.754,1.069831,0.7736,6.013,14495.22
421,"17.06.2",3,"19:0",0,18.85,-32.744,1.069842,0.8216,6.013,4192.81
422,"17.06.2",3,"20:4n6",0,1.882,-23.432,1.080031,0.7919,6.013,398.7
423,"17.06.2",3,"20:5n3",0,2.874,-30.516,1.07228,0.797,6.013,608.8
424,"17.01.1b",3,"12:0",0,14.918,-31.056,1.071689,0.7285,5.999,6405.89
425,"17.01.1b",3,"14:0",0,1.978,-10.831,1.093814,0.7432,5.999,736.22
426,"17.01.1b",3,"a15:0",0,33.217,-15.464,1.088746,0.7494,5.999,11590.39
427,"17.01.1b",3,"15:0",0,3.316,-15.456,1.088755,0.7494,5.999,1157.05
428,"17.01.1b",3,"16:1n9/i16:0",0,1.478,150.412,1.269851,0.7606,5.999,485.39
429,"17.01.1b",3,"16:0",0,19.411,-6.047,1.099046,0.755,5.999,6374.16
430,"17.01.1b",3,"i17:0",0,8.254,-32.537,1.070069,0.76,5.999,2559.84
431,"17.01.1b",3,"17:0cy",0,5.565,-16.667,1.087431,0.7654,5.999,1725.95
432,"17.01.1b",3,"17:0",0,4.791,-27.772,1.075282,0.76,5.999,1485.85
433,"17.01.1b",3,"trans-18:1n9",0,5.853,33.048,1.141781,0.7697,5.999,1719.73
434,"17.01.1b",3,"18:0",0,4.786,-0.379,1.105244,0.7645,5.999,1406.22
435,"17.01.1b",3,"19:0cy",0,20.973,-33.446,1.069074,0.7736,5.999,5854.25
436,"17.01.1b",3,"19:0",0,13.815,-32.444,1.07017,0.8216,5.999,3856.26
437,"17.01.1b",3,"20:4n6",0,0.667,-37.936,1.064161,0.7919,5.999,177.32
438,"17.01.1b",3,"20:5n3",0,3.146,-32.305,1.070323,0.797,5.999,836.31
439,"17.06.3",3,"12:0",0,15.135,-31.129,1.071609,0.7285,6.02,6044.8
440,"17.06.3",3,"14:0",0,2.747,-29.075,1.073857,0.7432,6.02,950.97
441,"17.06.3",3,"a15:0",0,46.03,-30.549,1.072244,0.7494,6.02,14938.58
442,"17.06.3",3,"15:0",0,5.414,-30.773,1.071998,0.7494,6.02,1757.05
443,"17.06.3",3,"16:1n9/i16:0",0,4.447,-21.347,1.082311,0.7606,6.02,1358.35
444,"17.06.3",3,"16:0",0,44.535,-29.971,1.072876,0.755,6.02,13602.13
445,"17.06.3",3,"i17:0",0,8.113,-32.174,1.070466,0.76,6.02,2340.24
446,"17.06.3",3,"17:0cy",0,11.962,-30.918,1.07184,0.7654,6.02,3450.61
447,"17.06.3",3,"17:0",0,9.322,-34.58,1.067833,0.76,6.02,2688.99
448,"17.06.3",3,"trans-18:1n9",0,16,-29.511,1.07338,0.7697,6.02,4372.52
449,"17.06.3",3,"18:0",0,10.409,-30.184,1.072643,0.7645,6.02,2844.61
450,"17.06.3",3,"19:0cy",0,51.246,-34.95,1.067428,0.7736,6.02,13304.6
451,"17.06.3",3,"19:0",0,15.754,-32.923,1.069646,0.8216,6.02,4090.12
452,"17.06.3",3,"20:4n6",0,1.161,-35.712,1.066594,0.7919,6.02,287.08
453,"17.06.3",3,"20:5n3",0,2.386,-32.513,1.070095,0.797,6.02,589.94
454,"18.05.1",3,"12:0",0,14.9,-30.797,1.071972,0.7285,6.095,2788.37
455,"18.05.1",3,"a15:0",0,36.705,-17.892,1.086091,0.7494,6.095,5581.59
456,"18.05.1",3,"15:0",0,3.656,-16.556,1.087552,0.7494,6.095,555.95
457,"18.05.1",3,"16:1n9/i16:0",0,3.609,58.211,1.169268,0.7606,6.095,516.53
458,"18.05.1",3,"16:0",0,39.489,10.349,1.116973,0.755,6.095,5651.27
459,"18.05.1",3,"i17:0",0,5.917,-32.127,1.070517,0.76,6.095,799.73
460,"18.05.1",3,"17:0cy",0,10.929,-18.032,1.085938,0.7654,6.095,1477.2
461,"18.05.1",3,"17:0",0,8.605,-28.716,1.07425,0.76,6.095,1163.04
462,"18.05.1",3,"trans-18:1n9",0,12.442,14.332,1.121328,0.7697,6.095,1593.19
463,"18.05.1",3,"18:0",0,8.854,3.314,1.109282,0.7645,6.095,1133.75
464,"18.05.1",3,"19:0",0,52.389,-33.987,1.068482,0.8216,6.095,6373.09
465,"18.05.1",3,"20:4n6",0,0.527,-24.592,1.078761,0.7919,6.095,61.06
466,"18.05.1",3,"20:5n3",0,1.839,-31.899,1.070767,0.797,6.095,213.05
467,"18.05.2",2,"12:0",0,17.593,-31.539,1.071161,0.7285,6.008,5858.93
468,"18.05.2",2,"14:0",0,6.146,-8.258,1.096628,0.7432,6.008,1774.1
469,"18.05.2",2,"a15:0",0,43.022,-6.132,1.098953,0.7494,6.008,11642.28
470,"18.05.2",2,"15:0",0,12.597,-24.119,1.079279,0.7494,6.008,3408.89
471,"18.05.2",2,"16:1n9/i16:0",0,18.197,92.269,1.206445,0.7606,6.008,4634.73
472,"18.05.2",2,"16:0",0,40.683,88.364,1.202185,0.755,6.008,10360.9
473,"18.05.2",2,"i17:0",0,12.503,-29.327,1.073581,0.76,6.008,3007.27
474,"18.05.2",2,"17:0cy",0,16.102,-17.924,1.086056,0.7654,6.008,3873.03
475,"18.05.2",2,"17:0",0,15.503,-12.615,1.091863,0.76,6.008,3728.84
476,"18.05.2",2,"trans-18:1n9",0,18.311,-0.326,1.105302,0.7697,6.008,4172.57
477,"18.05.2",2,"18:0",0,12.012,68.79,1.180819,0.7645,6.008,2737.2
478,"18.05.2",2,"19:0cy",0,35.074,-27.732,1.075326,0.7736,6.008,7592.87
479,"18.05.2",2,"19:0",0,19.604,-31.597,1.071098,0.8216,6.008,4243.94
480,"18.05.2",2,"20:4n6",0,9.51,-22.984,1.08052,0.7919,6.008,1960.78
481,"18.05.2",2,"20:5n3",0,10.077,-27.34,1.075754,0.797,6.008,2077.54
482,"18.05.3",2,"12:0",0,23.389,-30.118,1.072716,0.7285,6.001,6415.78
483,"18.05.3",2,"14:0",0,2.473,-19.296,1.084555,0.7432,6.001,587.99
484,"18.05.3",2,"a15:0",0,40.611,-22.289,1.081281,0.7494,6.001,9052.13
485,"18.05.3",2,"15:0",0,4.894,-22.323,1.081244,0.7494,6.001,1090.86
486,"18.05.3",2,"16:1n9/i16:0",0,5.196,12.39,1.119204,0.7606,6.001,1090.07
487,"18.05.3",2,"16:0",0,53.494,-21.604,1.082031,0.755,6.001,11221.47
488,"18.05.3",2,"i17:0",0,5.906,-32.358,1.070265,0.76,6.001,1170.07
489,"18.05.3",2,"17:0cy",0,11.789,-27.285,1.075816,0.7654,6.001,2335.66
490,"18.05.3",2,"17:0",0,9.497,-31.888,1.070779,0.76,6.001,1881.5
491,"18.05.3",2,"trans-18:1n9",0,19.255,-23.828,1.079598,0.7697,6.001,3614.05
492,"18.05.3",2,"18:0",0,12.725,-20.185,1.083583,0.7645,6.001,2388.41
493,"18.05.3",2,"19:0cy",0,51.257,-34.727,1.067672,0.7736,6.001,9139.75
494,"18.05.3",2,"19:0",0,21.567,-31.721,1.070962,0.8216,6.001,3845.69
495,"18.05.3",2,"20:4n6",0,1.037,-40.288,1.061586,0.7919,6.001,176.11
496,"18.05.3",2,"20:5n3",0,1.295,-35.948,1.066336,0.797,6.001,219.92
497,"02.10.1",2,"12:0",0,13.457,-30.539,1.072254,0.7285,6.059,6096.51
498,"02.10.1",2,"14:0",0,1.264,175.821,1.297535,0.7432,6.059,496.34
499,"02.10.1",2,"a15:0",0,22.725,1.16,1.106927,0.7494,6.059,8365.76
500,"02.10.1",2,"15:0",0,2.152,-6.373,1.098689,0.7494,6.059,792.21
501,"02.10.1",2,"16:1n9/i16:0",0,3.413,293.71,1.425772,0.7606,6.059,1182.54
502,"02.10.1",2,"16:0",0,26.02,66.261,1.178058,0.755,6.059,9014.6
503,"02.10.1",2,"i17:0",0,0.446,-32.615,1.069984,0.76,6.059,145.93
504,"02.10.1",2,"17:0cy",0,7.563,-9.78,1.094963,0.7654,6.059,2474.69
505,"02.10.1",2,"17:0",0,6.328,-23.515,1.07994,0.76,6.059,2070.52
506,"02.10.1",2,"trans-18:1n9",0,7.789,-14.042,1.090302,0.7697,6.059,2414.5
507,"02.10.1",2,"18:0",0,6.797,35.632,1.144604,0.7645,6.059,2107
508,"02.10.1",2,"19:0cy",0,24.889,-32.249,1.070384,0.7736,6.059,7329.64
509,"02.10.1",2,"19:0",0,13.575,-32.347,1.070277,0.8216,6.059,3997.78
510,"02.10.1",2,"20:4n6",0,0.402,-18.368,1.085571,0.7919,6.059,112.75
511,"02.10.3",3,"12:0",0,15.975,-31.012,1.071737,0.7285,6.002,6052.87
512,"02.10.3",3,"14:0",0,1.404,-21.05,1.082636,0.7432,6.002,461.1
513,"02.10.3",3,"a15:0",0,30.103,-25.635,1.077621,0.7494,6.002,9268.27
514,"02.10.3",3,"15:0",0,3.332,-27.043,1.07608,0.7494,6.002,1025.88
515,"02.10.3",3,"16:1n9/i16:0",0,3.469,22.559,1.130319,0.7606,6.002,1005.24
516,"02.10.3",3,"16:0",0,35.431,-20.376,1.083373,0.755,6.002,10266.2
517,"02.10.3",3,"i17:0",0,4.765,-32.602,1.069997,0.76,6.002,1303.96
518,"02.10.3",3,"17:0cy",0,10.241,-28.372,1.074626,0.7654,6.002,2802.57
519,"02.10.3",3,"17:0",0,7.975,-31.942,1.070719,0.76,6.002,2182.38
520,"02.10.3",3,"trans-18:1n9",0,10.98,-24.529,1.078831,0.7697,6.002,2846.65
521,"02.10.3",3,"18:0",0,8.991,-19.807,1.083997,0.7645,6.002,2331
522,"02.10.3",3,"19:0cy",0,42.485,-34.432,1.067995,0.7736,6.002,10464.01
523,"02.10.3",3,"19:0",0,16.684,-33.036,1.069523,0.8216,6.002,4109.29
524,"02.10.3",3,"20:4n6",0,1.031,-37.747,1.064367,0.7919,6.002,241.85
525,"02.10.3",3,"20:5n3",0,1.133,-35.216,1.067137,0.797,6.002,265.76
526,"02.08.1",3,"12:0",0,16.26,-30.341,1.072472,0.7285,6.004,6061.93
527,"02.08.1",3,"14:0",0,1.319,56.009,1.166862,0.7432,6.004,426.23
528,"02.08.1",3,"a15:0",0,24.472,-0.793,1.104792,0.7494,6.004,7413.59
529,"02.08.1",3,"15:0",0,2.782,30.283,1.13876,0.7494,6.004,842.79
530,"02.08.1",3,"16:1n9/i16:0",0,2.671,161.454,1.281884,0.7606,6.004,761.57
531,"02.08.1",3,"16:0",0,26.196,274.107,1.404471,0.755,6.004,7468.46
532,"02.08.1",3,"i17:0",0,4.779,-33.194,1.069349,0.76,6.004,1286.78
533,"02.08.1",3,"17:0cy",0,7.285,9.359,1.115891,0.7654,6.004,1961.61
534,"02.08.1",3,"17:0",0,5.792,-0.752,1.104836,0.76,6.004,1559.55
535,"02.08.1",3,"18:2n9,12 and cis-18:1n9 and 183n3",0,7.519,167.034,1.287962,0.775,6.004,1917.99
536,"02.08.1",3,"18:0",0,6.701,256.925,1.385793,0.7645,6.004,1709.4
537,"02.08.1",3,"19:0cy",0,26.491,-1.891,1.10359,0.7736,6.004,6419.94
538,"02.08.1",3,"19:0",0,16.918,-27.714,1.075346,0.8216,6.004,4100.01
539,"02.08.1",3,"20:4n6",0,0.78,-21.569,1.082069,0.7919,6.004,180.03
540,"02.08.1",3,"20:5n3",0,1.45,-31.553,1.071145,0.797,6.004,334.66
541,"02.08.2",3,"12:0",0,16.54,-31.564,1.071133,0.7285,6.003,5681.77
542,"02.08.2",3,"14:0",0,3.173,21.752,1.129437,0.7432,6.003,944.77
543,"02.08.2",3,"a15:0",0,49.215,-2.035,1.103433,0.7494,6.003,13737.73
544,"02.08.2",3,"15:0",0,6.361,-2.033,1.103435,0.7494,6.003,1775.59
545,"02.08.2",3,"16:1n9/i16:0",0,9.255,67.205,1.179089,0.7606,6.003,2431.49
546,"02.08.2",3,"16:0",0,68.84,91.233,1.205315,0.755,6.003,18084.05
547,"02.08.2",3,"i17:0",0,10.095,-26.288,1.076906,0.76,6.003,2504.58
548,"02.08.2",3,"17:0cy",0,17.487,-8.824,1.096009,0.7654,6.003,4338.68
549,"02.08.2",3,"17:0",0,13.065,-15.569,1.088632,0.76,6.003,3241.44
550,"02.08.2",3,"trans-18:1n9",0,22.234,55.988,1.16684,0.7697,6.003,5226.11
551,"02.08.2",3,"18:0",0,21.677,79.111,1.192086,0.7645,6.003,5095.2
552,"02.08.2",3,"19:0cy",0,75.379,-21.293,1.08237,0.7736,6.003,16832.23
553,"02.08.2",3,"19:0",0,19.62,-30.151,1.072679,0.8216,6.003,4381.2
554,"02.08.2",3,"20:4n6",0,1.567,-12.008,1.092527,0.7919,6.003,333.27
555,"02.08.2",3,"20:5n3",0,0.607,-20.28,1.083479,0.797,6.003,129.08
556,"02.08.3",3,"12:0",0,14.947,-30.611,1.072176,0.7285,6.007,5350.82
557,"02.08.3",3,"14:0",0,4.921,-9.107,1.0957,0.7432,6.007,1526.96
558,"02.08.3",3,"a15:0",0,80.145,-16.425,1.087695,0.7494,6.007,23313.73
559,"02.08.3",3,"15:0",0,8.762,-12.135,1.092388,0.7494,6.007,2548.81
560,"02.08.3",3,"16:1n9/i16:0",0,15.664,6.036,1.112258,0.7606,6.007,4288.6
561,"02.08.3",3,"16:0",0,115.871,10.968,1.11765,0.755,6.007,31721.03
562,"02.08.3",3,"i17:0",0,15.26,-29.845,1.073015,0.76,6.007,3945.48
563,"02.08.3",3,"17:0cy",0,23.756,-20.794,1.082916,0.7654,6.007,6142.33
564,"02.08.3",3,"17:0",0,17.504,-25.171,1.078128,0.76,6.007,4525.68
565,"02.08.3",3,"trans-18:1n9",0,40.931,13.647,1.120578,0.7697,6.007,10026.08
566,"02.08.3",3,"18:0",0,41.198,15.277,1.12236,0.7645,6.007,10091.51
567,"02.08.3",3,"19:0cy",0,128.818,-27.354,1.07574,0.7736,6.007,29976.81
568,"02.08.3",3,"19:0",0,19.84,-30.283,1.072535,0.8216,6.007,4616.94
569,"02.08.3",3,"20:4n6",0,2.549,-28.88,1.07407,0.7919,6.007,564.94
570,"02.08.3",3,"20:5n3",0,0.689,-30.425,1.072379,0.797,6.007,152.69
571,"20.04.1",3,"12:0",0,19.005,-30.964,1.071789,0.7285,6,6302.49
572,"20.04.1",3,"14:0",0,1.525,58.673,1.169772,0.7432,6,438.35
573,"20.04.1",3,"a15:0",0,22.802,36.138,1.145158,0.7494,6,6144.49
574,"20.04.1",3,"15:0",0,2.734,12.051,1.118834,0.7494,6,736.73
575,"20.04.1",3,"16:1n9/i16:0",0,3.286,410.839,1.552852,0.7606,6,833.4
576,"20.04.1",3,"16:0",0,27.871,66.791,1.178637,0.755,6,7068.1
577,"20.04.1",3,"i17:0",0,7.357,-26,1.077221,0.76,6,1762.08
578,"20.04.1",3,"17:0cy",0,8.266,6.989,1.1133,0.7654,6,1979.85
579,"20.04.1",3,"17:0",0,6.073,-23.342,1.080129,0.76,6,1454.54
580,"20.04.1",3,"18:2n9,12 and cis-18:1n9 and 183n3",0,8.645,19.43,1.126899,0.775,6,1961.57
581,"20.04.1",3,"18:0",0,5.914,64.396,1.176021,0.7645,6,1341.96
582,"20.04.1",3,"19:0cy",0,31.961,-31.643,1.071046,0.7736,6,6889.8
583,"20.04.1",3,"19:0",0,18.236,-33.186,1.069358,0.8216,6,3931.15
584,"20.04.1",3,"20:4n6",0,0.362,23.366,1.131201,0.7919,6,74.32
585,"20.04.1",3,"20:5n3",0,0.312,-3.613,1.101708,0.797,6,64.05
586,"20.04.2",3,"12:0",0,15.767,-30.701,1.072077,0.7285,5.901,6040.91
587,"20.04.2",3,"a15:0",0,25.82,-19.303,1.084548,0.7494,5.901,8038.56
588,"20.04.2",3,"15:0",0,2.578,-20.191,1.083576,0.7494,5.901,802.61
589,"20.04.2",3,"16:1n9/i16:0",0,3.454,19.063,1.126499,0.7606,5.901,1012.1
590,"20.04.2",3,"16:0",0,35.434,-12.214,1.092302,0.755,5.901,10381.96
591,"20.04.2",3,"i17:0",0,7.031,-31.891,1.070776,0.76,5.901,1945.58
592,"20.04.2",3,"17:0cy",0,10.16,-23.923,1.079493,0.7654,5.901,2811.52
593,"20.04.2",3,"17:0",0,8.404,-30.626,1.07216,0.76,5.901,2325.51
