Core_ID,Mesh_Type,Label_Type,Core_Depth_cm,d13_day1,atom_percent_day1,ppmv_day1,d13_day2,atom_percent_day2,ppmv_day2,d13_day3,atom_percent_day3,ppmv_day3,d13_day4,atom_percent_day4,ppmv_day4,d13_day5,atom_percent_day5,ppmv_day5,d13_day6,atom_percent_day6,ppmv_day6,d13_day7,atom_percent_day7,ppmv_day7,d13_day9,atom_percent_day9,ppmv_day9
2.5.2,2,water,3,-15.70,1.088499,813.2412829,-18.12025383,1.085850857,997.2544538,-19.07629896,1.084805045,1180.195009,68.78,1.18082,1363,-19.41591911,1.084433532,1213.747963,,,,,,,,,
2.5.3,3,water,9,-12.29,1.092230,829.9264149,-10.40598141,1.094288637,672.5300023,-13.50082354,1.090903708,901.8313889,27.29,1.135495,977,-13.01103999,1.091439416,689.9062928,,,,,,,,,
2.8.1,1,leaf,8,20.45,1.128019,996.0353238,,,,,,,-11.38,1.093224,840,,,,-12.08009012,1.092457639,808.0428094,-12.0364066,1.092505417,757.6478154,6.34,1.112601,1035.40
2.8.2,2,leaf,7,-7.07,1.097935,680.0778985,,,,,,,-9.81,1.094944,855.3,,,,-6.670972138,1.098373429,887.374789,-11.71719392,1.09285455,815.6784146,-7.14,1.097855,891.90
2.8.3,3,leaf,7,-10.07,1.094659,767.0846403,,,,,,,-12.55,1.091939,850.6,,,,-12.87136646,1.091592184,810.2747555,-12.47876315,1.092021594,779.4582363,-13.31,1.091116,981.50
2.10.1,1,starch,7.5,2407.38,3.669753,1306.158364,254.2839454,1.382933824,870.380673,29.40323902,1.137808622,892.7392911,-8.77,1.09608,818.9,1.6736927,1.107498351,837.7629341,,,,,,,,,
2.10.2,2,starch,8,93.63,1.207941,956.6825896,55.49119386,1.166307564,853.7781264,-4.956304921,1.100248561,754.0453761,-10.23,1.094485,890.4,-7.610166951,1.097346311,910.7514879,,,,,,,,,
2.10.3,3,starch,5,165.47,1.286267,786.1149177,39.88377812,1.149259723,718.1776104,-10.36447958,1.094334027,645.7372538,-13.7,1.090684,745.2,-12.12365696,1.092409988,638.649846,,,,,,,,,
2.13.1,1,water,3.5,19.70,1.127200,717.0634144,109.7223401,1.225498078,1077.581447,186.5478076,1.30922788,877.0420498,318.68,1.452902,839,-12.28056613,1.092238371,711.3251442,,,,,,,,,
2.13.2,2,water,4,62.44,1.173891,1072.337548,37.25794487,1.14639097,690.367203,41.88182419,1.151442499,663.397038,54.41,1.165127,731,-12.94295294,1.091513886,628.547353,,,,,,,,,
2.13.3,3,water,6.5,10.44,1.117088,713.6469349,25.20730871,1.133223379,679.4026877,42.50594853,1.152124307,619.1105282,46.64,1.156643,704,-13.08909805,1.091354039,638.3365904,,,,,,,,,
20.4.1,1,starch,6,16.86,1.124098,834.9044767,108.9830076,1.224691611,717.1986866,124.0298954,1.241102223,874.1005832,163.77,1.28442,987.3,-3.567756696,1.101767003,597.8091477,,,,,,,,,
20.4.2,2,starch,4,-12.99,1.091464,820.1814637,35.36064055,1.14431804,757.3737168,18.31973754,1.125695834,837.5279924,8.96,1.11546,1004.3,-4.989491096,1.10021227,718.3733951,,,,,,,,,
20.4.3,3,starch,2,33.76,1.142573,711.1293595,81.06480308,1.194228683,639.5112989,47.1887406,1.1572396,756.394793,36.8,1.145894,785.3,-9.483845733,1.095297162,664.963316,,,,,,,,,
20.9.1,1,water,4,,,,90.75355681,1.204802688,1059.58534,,,,-17.89,1.086107,1077,,,,-18.10397575,1.085868663,1068.788936,27.05646936,1.135244163,981.155683,15.4,1.122506,1152.00
20.9.2,2,water,6,,,,16.05708505,1.123222692,896.5477637,,,,-17.34,1.086702,997,,,,-18.1600017,1.085807377,1045.568865,-9.642690988,1.095123437,894.4621969,-12.23,1.092292,1054.00
20.9.3,3,water,5.5,,,,31.09682072,1.139659219,614.7676641,,,,-13.8,1.090578,673,,,,-17.26695524,1.086784255,909.7334072,-2.707252668,1.102707981,592.7579012,-2.97,1.102416,591.00
22.6.1,1,water,5,939.27,2.122150,1120.803884,-10.95998642,1.093682721,682.3027225,123.8709993,1.240928954,853.3474,60.67,1.171962,770,-13.16789838,1.09126785,658.1500068,,,,,,,,,
22.6.2,2,water,7,0.14,1.105825,793.5766629,-13.3285591,1.091092125,711.1044386,19.87791022,1.127398888,690.7677457,8.09,1.114516,747,-14.0223533,1.090333271,723.5421124,,,,,,,,,
